station_code,total_packages,latitude,longitude
DBS5,578,-15.823156469144262,-47.95520544310059
XSP7,576,-23.191448604913617,-46.896506154653885
DGO2,576,-16.65620143717899,-49.24297299648381
DPE4,575,-8.121129120715025,-34.885582988618026
DMG2,575,-19.901618642745582,-43.960716864405825
DBS5,572,-15.80487690792289,-48.102214912705826
DSA8,570,-12.942448233586257,-38.39781916709745
DSP2,569,-23.49692997781206,-46.58436716460859
DSP5,567,-22.825916010943118,-47.078078589279144
DPR2,564,-25.50770777731122,-49.298890795613794
DPR2,558,-25.442388594524065,-49.339239790198434
DSP5,558,-22.912415669470377,-47.08066490171037
DGO2,557,-16.72249809842464,-49.2870435624997
DBR9,552,-23.588584743471273,-46.694189048776664
DPE4,550,-8.09721710917876,-34.92682559676984
DRJ3,550,-23.00775835334759,-43.305946403179526
DMG2,549,-19.822585970120233,-43.980207706904224
DBS5,549,-15.88744342641493,-47.80943716661091
DES2,546,-20.269904132058894,-40.26294206809371
DRJ3,545,-22.902441304944457,-43.17432371615203
DSP2,544,-23.506686217611218,-46.60607883687117
DCE3,543,-3.8299852255398235,-38.559116255754084
DSP4,541,-23.692011093553404,-46.54724150051833
DSP4,540,-23.639389762547026,-46.52426210038584
DPR2,538,-25.483429626022236,-49.19149812872322
DBR9,535,-23.4832284020418,-46.64823382609334
DBS5,534,-15.791440271049455,-47.891034611195465
DBR9,534,-23.494652030596495,-46.862728330055745
DSA8,533,-12.977257235569189,-38.50392227897267
DCE3,532,-3.8182692928129693,-38.53809089477948
DSP2,523,-23.52036955589758,-46.542201599993994
DBR9,521,-23.504709249561134,-46.6488670799394
DSP2,520,-23.47544498217371,-46.583736017110816
DRJ3,519,-22.899288503963863,-43.30333803313331
DGO2,517,-16.735032020043864,-49.26642665414851
XSJ1,515,-23.246981310411062,-45.891138787728806
DSA8,514,-13.012690196423502,-38.483328974590094
DRS5,514,-29.68551013179244,-51.137312687289054
DCE3,509,-3.78185433565095,-38.55841996232411
DRJ3,508,-22.931308103872713,-43.325622614313104
DRJ3,508,-22.996381458372483,-43.32718987145841
DSP4,507,-23.65887403916549,-46.56769986229353
DPR2,507,-25.54592505837288,-49.19364825363803
DSP2,506,-23.489122071522953,-46.519857650616274
DMG2,503,-19.900403496087215,-44.00349121315068
DCE3,502,-3.783121927968287,-38.47502453262509
DBR9,500,-23.50072081782238,-46.73442771310486
