station_code,slot_id,capacity_s,lat,lon
DRJ3,DRJ3_T03_S27,42,-22.90507800557803,-43.25737445119748
DRJ3,DRJ3_T03_S28,42,-22.903753513364837,-43.248122050936914
DRJ3,DRJ3_T03_S29,42,-22.89962710585961,-43.226508314030795
DRJ3,DRJ3_T03_S30,42,-22.85234553520255,-43.25611161576276
DRJ3,DRJ3_T03_S31,42,-22.842734468740087,-43.26817452632902
DRJ3,DRJ3_T03_S32,42,-22.901401922749162,-43.21732994934724
DRJ3,DRJ3_T03_S33,42,-22.861653608152892,-43.256334453900195
DRJ3,DRJ3_T03_S34,42,-22.892371136426906,-43.26936398704303
DRJ3,DRJ3_T03_S35,42,-22.849091734989358,-43.262180283566494
DRJ3,DRJ3_T03_S36,42,-22.911881241921016,-43.23294857255666
DRJ3,DRJ3_T03_S37,42,-22.850416429926085,-43.27143182091481
DRJ3,DRJ3_T03_S38,42,-22.818622318509505,-43.30140096151452
DRJ3,DRJ3_T03_S39,42,-22.845837596842554,-43.268248862200466
DRJ3,DRJ3_T03_S40,42,-22.842885581417868,-43.26203167048122
DRJ3,DRJ3_T03_S41,42,-22.8551463123451,-43.26847187415311
DRJ3,DRJ3_T03_S42,42,-22.83932830715724,-43.28038575142248
DRJ3,DRJ3_T03_S43,42,-22.849393272211195,-43.2498943617226
DRJ3,DRJ3_T03_S44,42,-22.886016704932803,-43.27535853519037
DRJ3,DRJ3_T04_S01,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S02,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S03,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S04,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S05,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S06,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S07,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S08,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S09,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S10,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S11,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S12,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S13,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S14,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S15,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S16,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S17,42,-22.918943331107297,-43.56503871097753
DRJ3,DRJ3_T04_S18,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S19,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S20,42,-22.918943331107297,-43.56503871097753
DRJ3,DRJ3_T04_S21,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S22,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S23,42,-22.917205223493035,-43.39289846989445
DRJ3,DRJ3_T04_S24,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S25,42,-22.918943331107297,-43.56503871097753
DRJ3,DRJ3_T04_S26,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S27,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S28,42,-22.917205223493035,-43.39289846989445
DRJ3,DRJ3_T04_S29,42,-22.889081718409386,-43.57967304745227
DRJ3,DRJ3_T04_S30,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S31,42,-22.918943331107297,-43.56503871097753
DRJ3,DRJ3_T04_S32,42,-22.883205452953085,-43.56723813967818
DRJ3,DRJ3_T04_S33,42,-22.88525635579447,-43.42900429245877
DRJ3,DRJ3_T04_S34,42,-22.889081718409386,-43.57967304745227
DRJ3,DRJ3_T04_S35,42,-22.883692546859344,-43.54881303010855
DRJ3,DRJ3_T04_S36,42,-22.887669297624168,-43.395257830645406
DRJ3,DRJ3_T04_S37,42,-22.909805577575558,-43.558669443830325
DRJ3,DRJ3_T04_S38,42,-22.89609655669363,-43.54911581858849
DRJ3,DRJ3_T04_S39,42,-22.876343392789146,-43.533269465171614
DRJ3,DRJ3_T04_S40,42,-22.883153246127147,-43.45046501285786
DRJ3,DRJ3_T04_S41,42,-22.918364474480377,-43.40829322731146
