nome,endereco,lat,lon,DS
Huggo Gás,"R. Carlos Ribeiro Prado, 252 - Ernesto Geisel, João Pessoa - PB",-7.1763787,-34.8645417,DPB3
Disk Gás e Água Bayeux,"R. Gilvan Norberto da Silva, 286 - Comercial Norte, Bayeux - PB",-7.1476757,-34.9218503,DPB3
Lanchonete do Paulista,"R. Des. Júlio Rique Filho, 24 - Mangabeira VII, João Pessoa - PB",-7.1676914,-34.8303354,DPB3
Lanchonete De Belo,"R. Leonel de Moura Brizola, 185 - José Américo de Almeida, João Pessoa - PB",-7.1747901,-34.8535653,DPB3
Multi - Lanches,"R. Elías Pereira de Araújo, 36 - Sala B - Mangabeira, João Pessoa - PB",-7.1722916,-34.8432477,DPB3
Suprema Lanches,"R. Josiara Telino - Jardim Sao Paulo, João Pessoa - PB",-7.1512788,-34.850739,DPB3
Lanchonete Carioca Lanches João Pessoa | Mangabeira 7,"R. Administrador Manoel Ângelo de Oliveira, 304 - Mangabeira, João Pessoa - PB",-7.1669941,-34.831519,DPB3
Sorveteria e Açai Shallon,"R. Cel. Pedro Gonzaga de Lima - Mangabeira, João Pessoa - PB",-7.1706312,-34.8358464,DPB3
Sorveteria e Açaíteria Quadramares,"R. Ana de Fátima Gama Cabral - Portal do Sol, João Pessoa - PB",-7.1570261,-34.8173143,DPB3
Glaçaí Bancários Sorveteria,"Rua Rosa Lima dos Santos, 125 - Loja 4 - Bancários, João Pessoa - PB",-7.15059,-34.8387002,DPB3
Açaí Club Mais,"Av. Flamboyant, 405 - Sala 102 - Bancários, João Pessoa - PB",-7.1493817,-34.8432757,DPB3
Full Açaí - José Américo,"R. Cel. Augusto Fernandes Maia, 166 - José Américo de Almeida, João Pessoa - PB",-7.1681198,-34.8579702,DPB3
iFIX - Assistência Técnica,"R. Rad. Antônio Assunção de Jesus, 520 - Jardim Cidade Universitária, João Pessoa - PB",-7.153212,-34.831268,DPB3
Tech Ti - Assistência Técnica Especializada em Notebooks - João Pessoa - PB,"R. Pref. Luís Alberto Moreira Coutinho, S/N - Box 04 - Mangabeira, João Pessoa - PB",-7.163886,-34.8342493,DPB3
